representation,role,causal_scope,split,horizon,context_length,signal,n_seeds,rmse_mean,rmse_median,candidate_rmse_ratio_vs_control_mean,candidate_rmse_ratio_vs_control_median
moving_average_geometry,causal_control,strict_online,validation,1,32,sine,5,0.014832000431477754,0.014901559130292338,1.0070850600264674,1.0102576784353923
moving_average_geometry,causal_control,strict_online,validation,1,64,chirp,5,0.019604429276715386,0.018287809093168027,0.8467084132503688,0.8578227758095063
moving_average_geometry,causal_control,strict_online,validation,1,64,first_order_response,5,0.01441719310370376,0.014430263556003525,0.9627910457374872,0.964803384734587
moving_average_geometry,causal_control,strict_online,validation,1,64,piecewise_linear,5,0.01656099898107783,0.016760428761342067,0.9850918856070425,0.9832753863362117
moving_average_geometry,causal_control,strict_online,validation,1,64,ramp,5,0.014534487113206618,0.014576110417579405,0.9661271582555102,0.9619560324862678
moving_average_geometry,causal_control,strict_online,validation,1,64,regime_change,5,0.026312426092443542,0.023285856776227704,0.8465480979611766,0.8788644353906748
moving_average_geometry,causal_control,strict_online,validation,1,64,second_order_response,5,0.014572731369309616,0.014314189523872279,0.9645354631430936,0.9675838972345983
moving_average_geometry,causal_control,strict_online,validation,1,64,sine,5,0.015504885210682728,0.015404750729552219,0.9824333667155447,0.9836336087522654
moving_average_geometry,causal_control,strict_online,validation,1,128,chirp,5,0.015385375012762884,0.0148382905364169,0.9984228602730948,1.0119506460216992
moving_average_geometry,causal_control,strict_online,validation,1,128,first_order_response,5,0.014590784281361324,0.014617261982726714,0.9434707649443009,0.9435696148986533
moving_average_geometry,causal_control,strict_online,validation,1,128,piecewise_linear,5,0.016626967660458812,0.01650551805222019,0.9712147404167165,0.9716562415695035
moving_average_geometry,causal_control,strict_online,validation,1,128,ramp,5,0.014666321020052988,0.014657012676221137,0.9582586485627385,0.960769215172108
moving_average_geometry,causal_control,strict_online,validation,1,128,regime_change,5,0.018598351732451158,0.01956361140030554,1.1344413297262756,1.1070552708668646
moving_average_geometry,causal_control,strict_online,validation,1,128,second_order_response,5,0.014788522200838206,0.014601173501353759,0.9699106524439525,0.9709935445429547
moving_average_geometry,causal_control,strict_online,validation,1,128,sine,5,0.01525994119964951,0.015495501075213988,1.0090730876342577,1.0135783782675365
moving_average_geometry,causal_control,strict_online,validation,4,32,chirp,5,0.04550322526036301,0.03872560394592223,1.09300775983967,1.1550148074844822
moving_average_geometry,causal_control,strict_online,validation,4,32,first_order_response,5,0.019807333360153646,0.019624349938519504,0.8515458173150925,0.8381619075725374
moving_average_geometry,causal_control,strict_online,validation,4,32,piecewise_linear,5,0.018068291433170753,0.017721111948889156,0.912130307153076,0.9145493898556543
moving_average_geometry,causal_control,strict_online,validation,4,32,ramp,5,0.017926309246364253,0.017967542165603766,0.856149187958073,0.853428210397924
moving_average_geometry,causal_control,strict_online,validation,4,32,regime_change,5,0.0789866886856235,0.0642309022225633,0.900509516453153,0.9011179347145073
moving_average_geometry,causal_control,strict_online,validation,4,32,second_order_response,5,0.01818759841700156,0.017921629890033472,0.83910080136958,0.8462238120230382
moving_average_geometry,causal_control,strict_online,validation,4,32,sine,5,0.02260117597300471,0.0218694719829578,1.079604402349996,1.1018508209449729
moving_average_geometry,causal_control,strict_online,validation,4,64,chirp,5,0.028349492137615017,0.028817877951653064,1.0643868893832915,1.0116437555749074
moving_average_geometry,causal_control,strict_online,validation,4,64,first_order_response,5,0.019863322470932178,0.01934434679051925,0.8168470407209882,0.8224477839822725
moving_average_geometry,causal_control,strict_online,validation,4,64,piecewise_linear,5,0.01815074206012405,0.017961850355855315,0.9557433796985807,0.9602972167301106
moving_average_geometry,causal_control,strict_online,validation,4,64,ramp,5,0.018526774734325173,0.018702172479603273,0.7922737183453956,0.7878430293025577
moving_average_geometry,causal_control,strict_online,validation,4,64,regime_change,5,0.047613878432187694,0.0476993903577879,1.0864428894026321,1.0416271088787583
moving_average_geometry,causal_control,strict_online,validation,4,64,second_order_response,5,0.018700193539859772,0.0183333929698706,0.8093204661561808,0.802470022521259
moving_average_geometry,causal_control,strict_online,validation,4,64,sine,5,0.0210944348543947,0.020994478930734556,1.1110895541306018,1.1352379918863713
moving_average_geometry,causal_control,strict_online,validation,4,128,chirp,5,0.025727128775538722,0.025627591978370706,1.2655055742004375,1.1699803725238236
moving_average_geometry,causal_control,strict_online,validation,4,128,first_order_response,5,0.019883575888655143,0.019325128349187835,0.8043062175004442,0.8088906118255491
moving_average_geometry,causal_control,strict_online,validation,4,128,piecewise_linear,5,0.01819592182433024,0.01796442783966916,0.9316199748816356,0.937854301088936
moving_average_geometry,causal_control,strict_online,validation,4,128,ramp,5,0.018591303136185226,0.018811083469333408,0.7846150929204834,0.7782524159346049
moving_average_geometry,causal_control,strict_online,validation,4,128,regime_change,5,0.056433399367008044,0.05663790255182718,1.1917737318143473,1.1465423829728452
moving_average_geometry,causal_control,strict_online,validation,4,128,second_order_response,5,0.018731256969337067,0.018405439949914053,0.9225049203412212,0.902219242435661
moving_average_geometry,causal_control,strict_online,validation,4,128,sine,5,0.020594751673079854,0.020393900478743933,1.1849132261307176,1.1453853736554203
